transaction_id,amount,date,merchant_name,reference_number
GW00071,3406.76,2026-02-16,IRCTC Rail,PAY837588986609
GW00035,8400.16,2026-01-28,Ajio Fashion,TXN178619734353
GW00015,413.76,2026-01-18,Dunzo Quick,TXN216499065055
GW00016,203.77,2026-01-28,Zepto Delivery,TXN318769608269
GW00029,848.77,2026-04-10,Kalyan Jewellers,REF723801312434
GW00069,153.92,2026-05-24,Swiggy Food Delivery,NEFT733296400473
GW00002,931.93,2026-06-26,Vijay Sales,PAY481367606524
GW00033,7901.32,2026-02-12,Cleartrip,TXN676791011652
GW00049,856.42,2026-01-30,Flipkart,TXN212840677304
GW00013,556.54,2026-08-06,Tata CLiQ,IMPS641207030495
GW00008,4942.46,2026-05-13,Nykaa Beauty,TXN145284257239
GW00034,720.86,2026-06-10,Byju's Learning,IMPS671891036937
GW00058,7099.2,2026-07-04,Nykaa Beauty,REF567064927636
GW00031,1755.44,2026-04-20,Vedantu Classes,TXN243677899595
GW00028,3152.97,2026-04-23,Manyavar,IMPS884941847827
GW00018,214.57,2026-03-20,Croma Electronics,TXN627540089585
GW00001,44659.35,2026-04-08,Ola Cabs,IMPS190268310679
GW00012,4806.64,2026-07-07,Tanishq Jewellery,REF998142403927
GW00073,778.69,2026-01-30,Blinkit Grocery,PAY775001662644
GW00014,702.08,2026-03-22,Swiggy Food Delivery,TXN008495500653
GW00003,8961.26,2026-06-14,FabIndia,IMPS237088409572
GW00046,6862.93,2026-03-13,Healthkart,UPI320985996207
GW00030,9079.4,2026-05-05,PVR Cinemas,IMPS908549238857
GW00024,806.4,2026-06-05,Policy Bazaar,NEFT365163715483
GW00040,149.02,2026-03-16,Blinkit Grocery,TXN725759823371
GW00055,7135.52,2026-02-16,Zomato,NEFT977112030342
GW00053,3384.94,2026-06-09,FabIndia,REF193180901890
GW00063,13974.18,2026-05-20,Tata CLiQ,IMPS471404490349
GW00077,330.12,2026-02-14,IRCTC Rail,PAY727065173961
GW00062,433.54,2026-06-28,Tanishq Jewellery,TXN664761009125
GW00070,3017.98,2026-01-28,Kalyan Jewellers,IMPS313678796352
GW00066,7544.46,2026-06-18,Zepto Delivery,TXN502141043542
GW00076,5715.14,2026-04-12,Goibibo Hotels,NEFT741038689082
GW00056,2421.62,2026-04-24,Unacademy,TXN086291422089
GW00009,701.41,2026-02-24,MakeMyTrip,NEFT123522062980
GW00026,718.17,2026-07-12,Goibibo Hotels,TXN810967485733
GW00020,18897.35,2026-07-29,Reliance Fresh,TXN807398882718
GW00075,33030.37,2026-05-27,BookMyShow,NEFT713758808009
GW00045,135.83,2026-04-21,JioMart,TXN013752166954
GW00038,3189.5,2026-06-19,DMart Ready,PAY551245247402
GW00074,394.98,2026-01-02,Policy Bazaar,PAY426460350321
GW00052,8385.91,2026-02-08,Vijay Sales,NEFT431652707783
GW00010,9856.5,2026-01-26,PharmEasy,IMPS195478104447
GW00059,584.93,2026-04-04,MakeMyTrip,UPI869634570271
GW00043,6343.71,2026-03-16,Amazon India,NEFT366792261100
GW00017,103.19,2026-07-17,Mamaearth,UPI526726249804
GW00019,44584.23,2026-07-24,Air India,PAY878822178461
GW00025,19394.74,2026-03-21,BookMyShow,UPI346579762660
GW00060,38968.67,2026-04-12,PharmEasy,IMPS982848731919
GW00036,3415.29,2026-08-07,HDFC Life Insurance,NEFT968747928544
GW00007,9800.88,2026-05-17,Uber India,IMPS954139822507
GW00054,49897.04,2026-07-11,Boat Lifestyle,NEFT688833778006
GW00005,2003.86,2026-04-22,Zomato,UPI403959807652
GW00061,9487.58,2026-06-06,OYO Rooms,PAY032137236364
GW00042,21894.13,2026-05-31,IndiGo Airlines,UPI618902545673
GW00041,542.08,2026-05-28,Paytm Mall,UPI967102439281
GW00051,4105.77,2026-05-22,Ola Cabs,REF274958225941
GW00004,16113.65,2026-02-10,Boat Lifestyle,NEFT117574539147
GW00039,37606.54,2026-02-19,Rapido Bike Taxi,IMPS353953432737
GW00044,9174.79,2026-07-31,Myntra Fashion,REF277469766945
GW00022,139.9,2026-04-22,Lenskart,REF825905374918
GW00064,607.56,2026-07-15,Swiggy Food Delivery,UPI331184665072
GW00027,778.97,2026-04-24,IRCTC Rail,REF728645911455
GW00050,7715.89,2026-02-04,Urban Company,NEFT961927444411
GW00037,891.41,2026-06-29,Upgrad Education,TXN808246308127
GW00048,4977.93,2026-01-14,BigBasket,NEFT021788084056
GW00047,7843.74,2026-01-10,1mg Pharmacy,TXN948944311446
GW00021,3980.02,2026-01-08,INOX Movies,NEFT388263207356
GW00067,661.26,2026-07-02,Mamaearth,IMPS360984174831
GW00068,26552.54,2026-04-13,Croma Electronics,PAY352547168584
GW00072,4067.72,2026-04-05,PVR Cinemas,PAY733085416072
GW00057,846.2,2026-04-12,Uber India,IMPS296439813326
GW00032,1468.72,2026-03-31,Vistara Airlines,TXN812343829484
GW00006,5853.87,2026-07-19,Unacademy,TXN498251982661
GW00023,30284.9,2026-06-20,EaseMyTrip,REF586971499661
GW00065,1232.0,2026-07-22,Dunzo Quick,IMPS228319081121
GW00011,1455.24,2026-05-19,OYO Rooms,REF438214422948
