gw_transaction_id,gw_amount,gw_date,gw_merchant_name,gw_reference_number,bank_transaction_id,bank_amount,bank_date,bank_merchant_name,bank_reference_number,status,confidence,rule_score,llm_available
GW00071,3406.76,2026-02-16,IRCTC Rail,PAY837588986609,BK00071,3406.76,2026-02-16,IRCTC Rail Booking,PAY837588986609,exact,1.0,1.0,True
GW00035,8400.16,2026-01-28,Ajio Fashion,TXN178619734353,BK00035,8400.16,2026-01-28,Ajio Fashion,TXN178619734353,exact,1.0,1.0,True
GW00015,413.76,2026-01-18,Dunzo Quick,TXN216499065055,BK00015,413.76,2026-01-18,Dunzo Quick,TXN216499065055,exact,1.0,1.0,True
GW00016,203.77,2026-01-28,Zepto Delivery,TXN318769608269,BK00016,203.77,2026-01-28,Zepto Delivery,TXN318769608269,exact,1.0,1.0,True
GW00029,848.77,2026-04-10,Kalyan Jewellers,REF723801312434,BK00029,848.77,2026-04-10,Kalyan Jewellers,REF723801312434,exact,1.0,1.0,True
GW00069,153.92,2026-05-24,Swiggy Food Delivery,NEFT733296400473,BK00069,153.92,2026-05-24,Swiggy Fud Delivery,NEFT733296400473,exact,1.0,1.0,True
GW00002,931.93,2026-06-26,Vijay Sales,PAY481367606524,BK00002,931.93,2026-06-26,Vijay Sales,PAY481367606524,exact,1.0,1.0,True
GW00033,7901.32,2026-02-12,Cleartrip,TXN676791011652,BK00033,7901.32,2026-02-12,Cleartrip,TXN676791011652,exact,1.0,1.0,True
GW00049,856.42,2026-01-30,Flipkart,TXN212840677304,BK00049,856.42,2026-01-30,Flipkart,TXN212840677304,exact,1.0,1.0,True
GW00013,556.54,2026-08-06,Tata CLiQ,IMPS641207030495,BK00013,556.54,2026-08-06,Tata CLiQ,IMPS641207030495,exact,1.0,1.0,True
GW00008,4942.46,2026-05-13,Nykaa Beauty,TXN145284257239,BK00008,4942.46,2026-05-13,Nykaa Beauty,TXN145284257239,exact,1.0,1.0,True
GW00034,720.86,2026-06-10,Byju's Learning,IMPS671891036937,BK00034,720.86,2026-06-10,Byju's Learning,IMPS671891036937,exact,1.0,1.0,True
GW00058,7099.2,2026-07-04,Nykaa Beauty,REF567064927636,BK00058,7099.2,2026-07-07,Nykaa Beauty,REF567064927636,exact,1.0,1.0,True
GW00031,1755.44,2026-04-20,Vedantu Classes,TXN243677899595,BK00031,1755.44,2026-04-20,Vedantu Classes,TXN243677899595,exact,1.0,1.0,True
GW00028,3152.97,2026-04-23,Manyavar,IMPS884941847827,BK00028,3152.97,2026-04-23,Manyavar,IMPS884941847827,exact,1.0,1.0,True
GW00018,214.57,2026-03-20,Croma Electronics,TXN627540089585,BK00018,214.57,2026-03-20,Croma Electronics,TXN627540089585,exact,1.0,1.0,True
GW00001,44659.35,2026-04-08,Ola Cabs,IMPS190268310679,BK00001,44659.35,2026-04-08,Ola Cabs,IMPS190268310679,exact,1.0,1.0,True
GW00012,4806.64,2026-07-07,Tanishq Jewellery,REF998142403927,BK00012,4806.64,2026-07-07,Tanishq Jewellery,REF998142403927,exact,1.0,1.0,True
GW00073,778.69,2026-01-30,Blinkit Grocery,PAY775001662644,BK00073,778.69,2026-01-30,Blinkit Groshery,PAY775001662644,exact,1.0,1.0,True
GW00014,702.08,2026-03-22,Swiggy Food Delivery,TXN008495500653,BK00014,702.08,2026-03-22,Swiggy Food Delivery,TXN008495500653,exact,1.0,1.0,True
GW00003,8961.26,2026-06-14,FabIndia,IMPS237088409572,BK00003,8961.26,2026-06-14,FabIndia,IMPS237088409572,exact,1.0,1.0,True
GW00046,6862.93,2026-03-13,Healthkart,UPI320985996207,BK00046,6862.93,2026-03-13,Healthkart,UPI320985996207,exact,1.0,1.0,True
GW00030,9079.4,2026-05-05,PVR Cinemas,IMPS908549238857,BK00030,9079.4,2026-05-05,PVR Cinemas,IMPS908549238857,exact,1.0,1.0,True
GW00024,806.4,2026-06-05,Policy Bazaar,NEFT365163715483,BK00024,806.4,2026-06-05,Policy Bazaar,NEFT365163715483,exact,1.0,1.0,True
